legislative_vesting_clause	Legislative Vesting Clause	legislative vesting clause	a1-s1
diversity_clause	Diversity Clause	admiralty clause|arisings clause|case or controversy clause|diversity clause	a3-s2-c1
exceptions_clause	Exceptions Clause	exceptions clause	a3-s2-c2
full_faith_and_credit_clause	Full Faith and Credit Clause	full faith and credit clause	a4-s1
comity_clause	Comity Clause	comity clause|privileges and immunities clause|right to travel clause	a4-s2-c1
privileges_and_immunities_clause	Privileges and Immunities Clause	comity clause|privileges and immunities clause|right to travel clause	a4-s2-c1|am14
right_to_travel_clause	Right to Travel Clause	comity clause|privileges and immunities clause|right to travel clause	a4-s2-c1|am14
extradition_clause	Extradition Clause	extradition clause	a4-s2-c2
fugitive_slave_clause	Fugitive Slave Clause	fugitive slave clause	a4-s2-c3
admissions_clause	Admissions Clause	admissions clause	a4-s3-c1
disposing_clause	Disposing Clause	property clause|territorial clause|disposing clause	a4-s3-c2
property_clause	Property Clause	property clause|territorial clause|disposing clause	a4-s3-c2
territorial_clause	Territorial Clause	property clause|territorial clause|disposing clause	a4-s3-c2
guarantee_clause	Guarantee Clause	guarantee clause|republican form clause	a4-s4
republican_form_clause	Republican Form Clause	guarantee clause|republican form clause	a4-s4
supervising_clause	Supervising Clause	supervising clause|supremacy clause	a6-c2
supremacy_clause	Supremacy Clause	supervising clause|supremacy clause	a6-c2
affirmation_clause	Affirmation Clause	loyalty clause|affirmation clause|oath or affirmation clause	a6-c3
loyalty_clause	Loyalty Clause	loyalty clause|affirmation clause|oath or affirmation clause	a6-c3
oath_or_affirmation_clause	Oath or Affirmation Clause	loyalty clause|affirmation clause|oath or affirmation clause	a6-c3
establishment clause	Establishment Clause	freedom of the press clause|freedom of speech clause|establishment clause|exercise clause|free exercise clause|religion clause	am1
exercise_clause	Exercise Clause	freedom of the press clause|freedom of speech clause|establishment clause|exercise clause|free exercise clause|religion clause	am1
free_exercise_clause	Free Exercise Clause	freedom of the press clause|freedom of speech clause|establishment clause|exercise clause|free exercise clause|religion clause	am1
freedom_of_speech_clause	Freedom of Speech Clause	freedom of the press clause|freedom of speech clause|establishment clause|exercise clause|free exercise clause|religion clause	am1
freedom_of_the_press_clause	Freedom of the Press Clause	freedom of the press clause|freedom of speech clause|establishment clause|exercise clause|free exercise clause|religion clause	am1
religion_clause	Religion Clause	freedom of the press clause|freedom of speech clause|establishment clause|exercise clause|free exercise clause|religion clause	am1
reserved_power_clause	Reserved Power Clause	reserved power clause	am10
slavery_amendment	Slavery Amendment	slavery amendment	am13
citizenship_clause	Citizenship Clause	citizenship clause|equal protection clause	am14
equal_protection_clause	Equal Protection Clause	citizenship clause|equal protection clause	am14
women's_suffrage_amendment	Women's Suffrage Amendment	women's suffrage amendment	am19
right_to_bear_arms_amendment	Right to Bear Arms Amendment	right to bear arms amendment	am2
search_and_seizure_clause	Search and Seizure Clause	search and seizure clause|warrant clause	am4
warrant_clause	Warrant Clause	search and seizure clause|warrant clause	am4
double_jeopardy_clause	Double Jeopardy Clause	double jeopardy clause|due process clause|self-incrimination clause|takings clause	am5
self-incrimination_clause	Self-Incrimination Clause	double jeopardy clause|due process clause|self-incrimination clause|takings clause	am5
takings_clause	Takings Clause	double jeopardy clause|due process clause|self-incrimination clause|takings clause	am-5
due_process_clause	Due Process Clause	double jeopardy clause|due process clause|self-incrimination clause|takings clause	am5|am14
compulsory_process_clause	Compulsory Process Clause	compulsory process clause|speedy trial clause	am6
speedy_trial_clause	Speedy Trial Clause	compulsory process clause|speedy trial clause	am6
trial_by_jury_clause	Trial by Jury Clause	trial by jury clause	am7
cruel_and_unusual_punishment_clause	Cruel and Unusual Punishment Clause	cruel and unusual punishment clause|excessive fines clause	am8
excessive_fines_clause	Excessive Fines Clause	cruel and unusual punishment clause|excessive fines clause	am8
preamble	Preamble	preamble	pre
